Promotion ID,Promotion Name,Category,Eligible Cards,Validity Period,Key Details
PR-37,ช้อปฉ่ำทั้งปี ซูเปอร์คุ้ม,Shopping,"AEON Royal Orchid Plus, Wellness Platinum, J-Premier Platinum, Rabbit Platinum, Gold, Classic, UnionPay Platinum, Club Thailand, NEXTGEN Digital, Digital Primo","Mar 1, 2025 – Feb 28, 2026",5% discount on AEON Day at MaxValu & MaxValu Tanjai
PR-38,ช้อปสนุก สุดทุกดีล,Shopping,All AEON Credit Cards (except Corporate),"Apr 24, 2025 – Sep 30, 2025","Receive cash coupon for spending at Emporium, EmQuartier, EmSphere"
PR-39,ส่วนลดวันหยุดสุดพิเศษจาก Japan Airlines,Travel,AEON J-Premier Platinum Card,"Mar 15, 2025 – Jul 15, 2025","1,000 Baht discount on JALPAK tour packages"
PR-40,Summer 2025,Shopping,All AEON Credit Cards (except Corporate),"Mar 1, 2025 – May 5, 2025",Promotions at Central Department Stores
PR-41,Colorful Journey with AEON ROP,Travel,"AEON Royal Orchid Plus World Mastercard, Platinum","Mar 11, 2025 – May 10, 2025",Earn bonus ROP miles for spending worldwide
PR-42,Bank of The Day Campaign at Shopee,Shopping,All AEON Credit Cards & Member Cards (except Corporate for full payment),"May 1, 2025 – May 29, 2025",Special offers on specific days on Shopee
PR-43,Privileges for AEON-UnionPay Platinum Card,Financial Service,AEON-UnionPay Platinum Card,"Mar 1, 2025 – Jun 30, 2025","Cashback, lounge access, travel insurance"
PR-44,Golf Course,Sports,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Apr 1, 2025 – Jun 30, 2025",Redeem AEON Happy Points for privileges at participating golf courses
PR-45,5.5 Lazada,Shopping,All AEON Credit Cards (except Corporate),"May 4, 2025 – May 7, 2025",Discount on Lazada
PR-46,Big 5 Family Activities,Entertainment,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Apr 1, 2025 – Oct 31, 2025",Redeem AEON Happy Points for privileges at water parks
PR-47,Deal of the month at Lazada,Shopping,All AEON Credit Cards (except Corporate),"May 1, 2025 – May 31, 2025",Special deal on Lazada
PR-48,เพิ่มความเอาใจใส่ด้านสุขภาพไปกับบัตรเครดิตอิออน เวลล์เนส แพลทินัม,Health & Wellness,AEON Wellness Platinum Card,"Jan 1, 2025 – Feb 28, 2026","Cashback at hospitals & pharmacies, discounts at wellness centers"
PR-49,อิ่มอร่อย 9 ร้านดัง,Dining,"All AEON Credit Cards (excluding ROP, Big C, Corporate)","Mar 1, 2025 – Jan 31, 2026",Discounts at participating restaurants
PR-50,รับสิทธิพิเศษ ณ Siam Amazing Park,Entertainment,All AEON Credit Cards (except Corporate),"Mar 1, 2025 – May 31, 2025",Discounted tickets to Siam Amazing Park
PR-51,BIC CAMERA Coupon with Aeon Credit Card,Shopping,All AEON Credit Cards (except Corporate),"Sep 1, 2024 – Aug 31, 2025","Tax-free shopping up to 10%, discount up to 7% at BicCamera Japan"
PR-52,รับโค้ดส่วนลด MaxValu,Shopping,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Mar 1, 2025 – Feb 28, 2026",Redeem AEON Happy Points for MaxValu e-Coupon
PR-53,ราเมน คาเก็ตสึ อาราชิ,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jan 31, 2026",Redeem AEON Happy Points for e-Voucher or get discount
PR-54,ชาบูตง ราเมน,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jan 31, 2026",Redeem AEON Happy Points for e-Voucher or get discount
PR-55,เปปเปอร์ ลันช์,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jan 31, 2026",Redeem AEON Happy Points for e-Voucher or get discount
PR-56,คัตสึยะ,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get discount
PR-57,AMOR,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-58,DON,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-59,Sushi Den,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-60,โยชิโนยะ,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Jun 30, 2025",Redeem AEON Happy Points for e-Voucher or get discount
PR-61,โบกึล โบกริล,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-62,Sukishi,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher
PR-63,มิสเตอร์ โดนัท,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get special price
PR-64,อานตี้ แอนส์,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get discount
PR-65,โคล สโตน ครีมเมอรี่,Dining,"AEON Credit Cards (excluding ROP, Big C, Corporate)","Jan 1, 2025 – Dec 31, 2025",Redeem AEON Happy Points for e-Voucher or get discount
